 Location:  5S  95W  24 Apr 1994 to 10 May 2012 ( 6592 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 24 Apr 1994 to 1200 15 Mar 1997 (index     1 to  1057, 1057 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19940804 1200  -6.2   5.0   8.0 308.8 12 55
 19940805 1200  -5.8   4.9   7.6 310.5 12 55
 19940806 1200  -5.1   5.7   7.7 318.1 12 55
 19940807 1200  -6.2   5.4   8.2 311.2 12 55
 19940808 1200  -6.9   4.6   8.3 303.6 12 55
 19940809 1200  -6.4   3.8   7.5 300.9 12 55
 19940810 1200  -5.6   3.9   6.8 304.8 12 55
 19940811 1200  -5.2   4.2   6.7 309.0 12 55
 19940812 1200  -5.7   4.5   7.3 308.2 12 55
 19940813 1200  -6.5   3.3   7.3 296.8 12 55
 19940814 1200  -6.2   3.4   7.0 298.8 12 55
 19940815 1200  -6.0   3.9   7.2 303.0 12 55
 19940816 1200  -6.7   3.8   7.7 299.1 12 55
 19940817 1200  -6.0   3.3   6.8 298.8 12 55
 19940818 1200  -5.2   4.6   7.0 311.1 12 55
 19940819 1200  -5.8   4.1   7.0 305.3 12 55
 19940820 1200  -4.6   3.4   5.7 306.4 12 55
 19940821 1200  -5.2   4.2   6.6 309.0 12 55
 19940822 1200  -5.6   3.6   6.7 302.8 12 55
 19940823 1200  -5.5   3.5   6.5 302.5 12 55
 19940824 1200  -5.0   3.6   6.1 306.2 12 55
 19940825 1200  -5.0   3.6   6.2 305.4 12 55
 19940826 1200  -4.5   3.6   5.8 308.9 12 55
 19940827 1200  -4.0   3.7   5.5 312.4 12 55
 19940828 1200  -2.8   4.0   4.8 324.6 12 55
 19940829 1200  -4.5   3.8   5.9 309.8 12 55
 19940830 1200  -5.1   4.0   6.5 307.9 12 55
 19940831 1200  -5.6   3.4   6.6 301.4 12 55
 19940901 1200  -5.4   3.2   6.3 300.3 12 55
 19940902 1200  -4.8   3.2   5.8 303.4 12 55
 19940903 1200  -4.0   4.1   5.7 315.4 12 55
 19940904 1200  -4.8   3.1   5.7 302.7 12 55
 19940905 1200  -4.5   2.0   4.9 293.4 12 55
 19940906 1200  -3.5   2.9   4.6 309.5 12 55
 19940907 1200  -3.5   4.2   5.5 319.8 12 55
 19940908 1200  -3.5   5.0   6.1 324.9 12 55
 19940909 1200  -4.4   3.6   5.7 309.5 12 55
 19940910 1200  -4.3   3.6   5.6 309.6 12 55
 19940911 1200  -4.3   4.0   5.9 312.4 12 55
 19940912 1200  -5.2   3.7   6.4 305.0 12 55
 19940913 1200  -5.7   3.7   6.8 302.9 12 55
 19940914 1200  -3.9   3.6   5.3 312.2 12 55
 19940915 1200  -4.1   3.7   5.5 312.5 12 55
 19940916 1200  -3.4   3.8   5.1 318.6 12 55
 19940917 1200  -2.9   4.2   5.1 325.6 12 55
 19940918 1200  -3.2   3.8   5.0 320.2 12 55
 19940919 1200  -3.7   3.4   5.0 312.5 12 55
 19940920 1200  -4.1   3.2   5.2 308.3 12 55
 19940921 1200  -4.0   3.4   5.3 309.9 12 55
 19940922 1200  -3.8   4.8   6.1 321.8 12 55
 19940923 1200  -4.4   3.9   5.9 311.2 12 55
 19940924 1200  -4.3   3.6   5.6 310.0 12 55
 19940925 1200  -3.8   3.5   5.2 312.4 12 55
 19940926 1200  -3.1   3.7   4.9 319.9 12 55
 19940927 1200  -2.9   4.1   5.0 325.2 12 55
 19940928 1200  -3.4   3.0   4.5 311.7 12 55
 19940929 1200  -4.9   2.5   5.5 296.5 12 55
 19940930 1200  -4.4   3.9   5.8 311.5 12 55
 19941001 1200  -5.4   4.0   6.7 306.9 12 55
 19941002 1200  -5.0   4.8   7.0 314.0 12 55
 19941003 1200  -5.5   3.5   6.5 302.1 12 55
 19941004 1200  -4.2   4.5   6.1 316.9 12 55
 19941005 1200  -4.6   4.2   6.2 312.2 12 55
 19941006 1200  -5.2   3.3   6.1 302.3 12 55
 19941007 1200  -3.4   3.0   4.5 311.3 12 55
 19941008 1200  -4.0   4.4   5.9 318.1 12 55
 19941009 1200  -5.3   3.7   6.5 305.3 12 55
 19941010 1200  -4.5   4.2   6.2 313.1 12 55
 19941011 1200  -3.8   3.3   5.1 310.8 12 55
 19941012 1200  -5.0   3.0   5.9 301.4 12 55
 19941013 1200  -5.1   2.8   5.8 298.4 12 55
 19941014 1200  -4.2   3.3   5.3 308.3 12 55
 19941015 1200  -4.8   3.9   6.2 308.9 12 55
 19941016 1200  -4.8   4.9   6.8 315.7 12 55
 19941017 1200  -4.8   5.2   7.1 317.2 12 55
 19941018 1200  -4.5   4.5   6.4 314.9 12 55
 19941019 1200  -5.5   3.3   6.5 301.0 12 55
 19941020 1200  -5.1   3.3   6.1 303.0 12 55
 19941021 1200  -4.8   3.5   5.9 306.3 12 55
 19941022 1200  -4.9   3.5   6.0 305.4 12 55
 19941023 1200  -4.2   2.4   4.8 299.5 12 55
 19941024 1200  -3.6   4.1   5.5 319.1 12 55
 19941025 1200  -4.1   3.9   5.6 313.6 12 55
 19941026 1200  -5.0   2.1   5.4 292.7 12 55
 19941027 1200  -4.6   2.8   5.4 301.6 12 55
 19941028 1200  -4.0   4.3   5.9 316.8 12 55
 19941029 1200  -5.1   4.2   6.6 309.6 12 55
 19941030 1200  -5.6   4.1   7.0 306.5 12 55
 19941031 1200  -5.1   4.8   7.0 313.6 12 55
 19941101 1200  -3.9   5.0   6.4 322.0 12 55
 19941102 1200  -4.4   3.3   5.5 306.6 12 55
 19941103 1200  -4.5   3.1   5.5 304.9 12 55
 19941104 1200  -4.5   3.8   5.9 310.6 12 55
 19941105 1200  -3.7   4.2   5.6 318.5 12 55
 19941106 1200  -5.2   3.6   6.3 305.0 12 55
 19941107 1200  -5.0   3.9   6.4 308.1 12 55
 19941108 1200  -5.3   3.8   6.5 305.6 12 55
 19941109 1200  -4.8   3.8   6.1 308.3 12 55
 19941110 1200  -4.5   4.1   6.1 312.9 12 55
 19941111 1200  -5.4   3.7   6.5 304.6 12 55
 19941112 1200  -5.3   2.0   5.7 290.9 12 55
 19941113 1200  -4.1   3.8   5.6 312.5 12 55
 19941114 1200  -3.9   5.8   7.0 326.1 12 55
 19941115 1200  -5.3   4.7   7.1 312.0 12 55
 19941116 1200  -5.2   2.8   5.9 297.7 12 55
 19941117 1200  -4.3   1.6   4.6 290.6 12 55
 19941118 1200  -3.2   4.1   5.2 322.4 12 55
 19941119 1200  -4.9   5.7   7.5 319.5 12 55
 19941120 1200  -4.6   5.0   6.8 317.6 12 55
 19941121 1200  -3.5   2.8   4.5 308.2 12 55
 19941122 1200  -4.1   1.8   4.5 294.0 12 55
 19941123 1200  -4.5   3.1   5.5 304.3 12 55
 19941124 1200  -5.1   4.1   6.5 308.4 12 55
 19941125 1200  -5.3   3.4   6.3 302.5 12 55
 19941126 1200  -3.8   3.5   5.2 312.2 12 55
 19941127 1200  -4.2   3.5   5.5 310.5 12 55
 19941128 1200  -4.3   3.4   5.5 308.6 12 55
 19941129 1200  -4.8   3.2   5.8 303.9 12 55
 19941130 1200  -4.3   4.3   6.1 314.8 12 55
 19941201 1200  -4.2   3.7   5.5 311.6 12 55
 19941202 1200  -4.5   3.6   5.7 309.2 12 55
 19941203 1200  -4.2   3.2   5.3 306.9 12 55
 19941204 1200  -3.9   4.2   5.7 317.7 12 55
 19941205 1200  -4.9   3.5   6.0 306.2 12 55
 19941206 1200  -4.2   5.5   6.9 323.0 12 55
 19941207 1200  -4.1   4.4   6.0 316.8 12 55
 19941208 1200  -4.3   4.0   5.9 312.8 12 55
 19941209 1200  -3.9   2.6   4.7 303.1 12 55
 19941210 1200  -4.0   3.7   5.5 312.6 12 55
 19941211 1200  -4.4   4.2   6.1 314.1 12 55
 19941212 1200  -5.1   4.1   6.6 308.9 12 55
 19941213 1200  -4.4   3.2   5.5 305.8 12 55
 19941214 1200  -3.7   3.8   5.3 315.5 12 55
 19941215 1200  -4.4   4.1   6.0 312.9 12 55
 19941216 1200  -3.9   4.5   6.0 319.2 12 55
 19941217 1200  -4.7   4.2   6.3 311.9 12 55
 19941218 1200  -3.4   5.0   6.0 325.4 12 55
 19941219 1200  -4.2   4.6   6.2 317.8 12 55
 19941220 1200  -5.0   4.0   6.4 308.8 12 55
 19941221 1200  -4.7   3.5   5.8 306.4 12 55
 19941222 1200  -3.8   5.0   6.3 322.6 12 55
 19941223 1200  -3.0   5.1   5.9 329.1 12 55
 19941224 1200  -2.1   5.5   5.9 338.6 12 55
 19941225 1200  -2.5   4.5   5.1 330.8 12 55
 19941226 1200  -2.2   3.8   4.4 329.6 12 55
 19941227 1200  -1.7   1.8   2.5 316.4 12 55
 19941228 1200  -2.6   1.2   2.8 295.7 12 55
 19941229 1200  -3.1   2.9   4.3 312.8 12 55
