 Location:  8N  95W   9 Aug 1994 to 19 Sep 2013 ( 6982 times,  5 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200  9 Aug 1994 to 1200 15 Mar 1995 (index     1 to   219,  219 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19950214 1200 26.93 2 1
 19950215 1200 26.99 2 1
 19950216 1200 26.97 2 1
 19950217 1200 27.10 2 1
 19950218 1200 27.07 2 1
 19950219 1200 27.07 2 1
 19950220 1200 27.05 2 1
 19950221 1200 27.13 2 1
 19950222 1200 27.34 2 1
 19950223 1200 27.50 2 1
 19950224 1200 27.57 2 1
 19950225 1200 27.59 2 1
 19950226 1200 27.55 2 1
 19950227 1200 27.66 2 1
 19950228 1200 27.78 2 1
 19950301 1200 27.85 2 1
 19950302 1200 27.92 2 1
 19950303 1200 28.00 2 1
 19950304 1200 27.96 2 1
 19950305 1200 27.94 2 1
 19950306 1200 28.01 2 1
 19950307 1200 28.15 2 1
 19950308 1200 28.22 2 1
 19950309 1200 28.30 2 1
 19950310 1200 28.24 2 1
 19950311 1200 28.04 2 1
 19950312 1200 28.26 2 1
 19950313 1200 28.43 2 1
 19950314 1200 28.55 2 1
 19950315 1200 28.45 2 1
 Time: 1200 22 Aug 1995 to 1200  8 May 1998 (index   379 to  1369,  991 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19950822 1200 27.54 1 5
 19950823 1200 27.56 1 5
 19950824 1200 27.46 1 5
 19950825 1200 27.46 1 5
 19950826 1200 27.49 1 5
 19950827 1200 27.56 1 5
 19950828 1200 27.59 1 5
 19950829 1200 27.57 1 5
 19950830 1200 27.52 1 5
 19950831 1200 27.58 1 5
 19950901 1200 27.71 1 5
 19950902 1200 28.00 1 5
 19950903 1200 27.98 1 5
 19950904 1200 27.81 1 5
 19950905 1200 27.85 1 5
 19950906 1200 27.91 1 5
 19950907 1200 27.79 1 5
 19950908 1200 27.77 1 5
 19950909 1200 27.66 1 5
 19950910 1200 27.72 1 5
 19950911 1200 27.81 1 5
 19950912 1200 27.75 1 5
 19950913 1200 27.67 1 5
 19950914 1200 27.68 1 5
 19950915 1200 27.49 1 5
 19950916 1200 27.36 1 5
 19950917 1200 27.29 1 5
 19950918 1200 27.33 1 5
 19950919 1200 27.25 1 5
 19950920 1200 27.31 1 5
 19950921 1200 27.41 1 5
 19950922 1200 27.52 1 5
 19950923 1200 27.54 1 5
 19950924 1200 27.33 1 5
 19950925 1200 27.20 1 5
 19950926 1200 27.27 1 5
 19950927 1200 27.34 1 5
 19950928 1200 27.25 1 5
 19950929 1200 27.32 1 5
 19950930 1200 27.41 1 5
 19951001 1200 27.28 1 5
 19951002 1200 27.24 1 5
 19951003 1200 27.25 1 5
 19951004 1200 27.02 1 5
 19951005 1200 27.11 1 5
 19951006 1200 27.21 1 5
 19951007 1200 27.15 1 5
 19951008 1200 27.04 1 5
 19951009 1200 26.68 1 5
 19951010 1200 26.87 1 5
 19951011 1200 26.93 1 5
 19951012 1200 26.72 1 5
 19951013 1200 26.55 1 5
 19951014 1200 26.47 1 5
 19951015 1200 26.36 1 5
 19951016 1200 26.46 1 5
 19951017 1200 26.67 1 5
 19951018 1200 26.86 1 5
 19951019 1200 27.15 1 5
 19951020 1200 27.48 1 5
 19951021 1200 27.55 1 5
 19951022 1200 27.75 1 5
 19951023 1200 27.80 1 5
 19951024 1200 27.55 1 5
 19951025 1200 27.41 1 5
 19951026 1200 27.18 1 5
 19951027 1200 27.33 1 5
 19951028 1200 27.01 1 5
 19951029 1200 26.88 1 5
 19951030 1200 26.93 1 5
 19951031 1200 27.02 1 5
 19951101 1200 27.12 1 5
 19951102 1200 27.31 1 5
 19951103 1200 27.39 1 5
 19951104 1200 27.22 1 5
 19951105 1200 27.21 1 5
 19951106 1200 27.58 1 5
 19951107 1200 27.56 1 5
 19951108 1200 27.33 1 5
 19951109 1200 27.51 1 5
 19951110 1200 27.54 1 5
 19951111 1200 27.61 1 5
 19951112 1200 27.37 1 5
 19951113 1200 27.29 1 5
 19951114 1200 27.43 1 5
 19951115 1200 27.70 1 5
 19951116 1200 27.75 1 5
 19951117 1200 27.66 1 5
 19951118 1200 27.61 1 5
 19951119 1200 27.61 1 5
 19951120 1200 27.49 1 5
 19951121 1200 27.82 1 5
 19951122 1200 27.75 1 5
 19951123 1200 27.68 1 5
