 Location:  0N 140W  15 Sep 2006 to 24 Jun 2013 ( 2475 times,  7 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 15 Sep 2006 to 1200 17 Nov 2006 (index     1 to    64,   64 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20070724 1200 1012.0 2 1
 20070725 1200 1010.9 2 1
 20070726 1200 1010.5 2 1
 20070727 1200 1011.2 2 1
 20070728 1200 1011.1 2 1
 20070729 1200 1011.2 2 1
 20070730 1200 1010.8 2 1
 20070731 1200 1009.5 2 1
 20070801 1200 1010.1 2 1
 20070802 1200 1010.8 2 1
 20070803 1200 1010.5 2 1
 20070804 1200 1011.3 2 1
 20070805 1200 1011.1 2 1
 20070806 1200 1011.6 2 1
 20070807 1200 1011.6 2 1
 20070808 1200 1011.9 2 1
 20070809 1200 1012.8 2 1
 20070810 1200 1012.7 2 1
 20070811 1200 1012.2 2 1
 20070812 1200 1011.8 2 1
 20070813 1200 1012.1 2 1
 20070814 1200 1012.3 2 1
 20070815 1200 1011.6 2 1
 20070816 1200 1011.6 2 1
 20070817 1200 1012.2 2 1
 20070818 1200 1012.1 2 1
 20070819 1200 1011.6 2 1
 20070820 1200 1010.8 2 1
 20070821 1200 1010.8 2 1
 20070822 1200 1012.2 2 1
 20070823 1200 1013.1 2 1
 20070824 1200 1013.0 2 1
 20070825 1200 1013.0 2 1
 20070826 1200 1013.0 2 1
 20070827 1200 1012.8 2 1
 20070828 1200 1012.1 2 1
 20070829 1200 1011.9 2 1
 20070830 1200 1012.2 2 1
 20070831 1200 1012.5 2 1
 20070901 1200 1012.0 2 1
 20070902 1200 1011.3 2 1
 20070903 1200 1011.8 2 1
 20070904 1200 1012.5 2 1
 20070905 1200 1012.6 2 1
 20070906 1200 1012.0 2 1
 20070907 1200 1012.2 2 1
 20070908 1200 1012.9 2 1
 20070909 1200 1011.0 2 1
 20070910 1200 1010.1 2 1
 20070911 1200 1010.3 2 1
 20070912 1200 1011.4 2 1
 20070913 1200 1011.7 2 1
 20070914 1200 1012.5 2 1
 20070915 1200 1012.6 2 1
 20070916 1200 1012.0 2 1
 20070917 1200 1011.0 2 1
 20070918 1200 1011.3 2 1
 20070919 1200 1011.2 2 1
 20070920 1200 1011.3 2 1
 20070921 1200 1011.7 2 1
 20070922 1200 1011.4 2 1
 20070923 1200 1012.4 2 1
 20070924 1200 1011.6 2 1
 20070925 1200 1010.9 2 1
 20070926 1200 1010.8 2 1
 20070927 1200 1011.5 2 1
 20070928 1200 1012.5 2 1
 20070929 1200 1012.4 2 1
 20070930 1200   -9.9 0 0
 20071001 1200   -9.9 0 0
 20071002 1200 1013.2 2 1
 20071003 1200 1013.6 2 1
 20071004 1200 1012.8 2 1
 20071005 1200 1012.7 2 1
 20071006 1200 1012.5 2 1
 20071007 1200 1012.2 2 1
 20071008 1200 1012.1 2 1
 20071009 1200 1012.8 2 1
 20071010 1200 1013.8 2 1
 20071011 1200 1013.6 2 1
 20071012 1200 1011.9 2 1
 20071013 1200 1012.1 2 1
 20071014 1200 1012.6 2 1
 20071015 1200 1012.8 2 1
 20071016 1200 1012.6 2 1
 20071017 1200 1013.3 2 1
 20071018 1200 1013.2 2 1
 20071019 1200 1012.7 2 1
 20071020 1200 1012.5 2 1
 20071021 1200 1011.9 2 1
 20071022 1200 1011.5 2 1
 20071023 1200 1010.7 2 1
 20071024 1200 1010.7 2 1
 20071025 1200 1011.0 2 1
 20071026 1200 1010.6 2 1
 20071027 1200 1010.1 2 1
 20071028 1200 1011.1 2 1
 20071029 1200 1012.3 2 1
 20071030 1200 1012.3 2 1
 20071031 1200 1011.6 2 1
 20071101 1200 1010.9 2 1
 20071102 1200 1010.5 2 1
 20071103 1200 1011.2 2 1
 20071104 1200 1010.4 2 1
 20071105 1200 1009.1 2 1
 20071106 1200 1008.6 2 1
 20071107 1200 1009.8 2 1
 20071108 1200 1011.2 2 1
 20071109 1200 1011.4 2 1
 20071110 1200 1011.2 2 1
 20071111 1200 1010.5 2 1
 20071112 1200 1008.8 2 1
 20071113 1200 1008.8 2 1
 20071114 1200 1008.4 2 1
 20071115 1200 1008.1 2 1
 20071116 1200 1008.8 2 1
 20071117 1200 1008.9 2 1
 20071118 1200 1008.7 2 1
 20071119 1200 1008.8 2 1
 20071120 1200 1009.7 2 1
 Time: 1200 11 May 2008 to 1200 24 Jun 2013 (index   605 to  2475, 1871 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20080511 1200 1010.3 2 5
 20080512 1200 1011.1 2 5
 20080513 1200 1011.8 2 5
 20080514 1200 1011.7 2 5
 20080515 1200 1011.7 2 5
 20080516 1200 1011.1 2 5
 20080517 1200 1012.1 2 5
 20080518 1200 1012.1 2 5
 20080519 1200 1011.8 2 5
 20080520 1200 1012.1 2 5
 20080521 1200 1013.5 2 5
 20080522 1200 1013.6 2 5
 20080523 1200 1012.9 2 5
 20080524 1200 1012.4 2 5
 20080525 1200 1011.6 2 5
 20080526 1200 1011.3 2 5
 20080527 1200 1011.6 2 5
 20080528 1200 1011.9 2 5
 20080529 1200 1011.6 2 5
 20080530 1200 1011.2 2 5
 20080531 1200 1011.6 2 5
 20080601 1200 1012.2 2 5
 20080602 1200 1013.0 2 5
 20080603 1200 1012.8 2 5
 20080604 1200 1011.5 2 5
 20080605 1200 1010.9 2 5
 20080606 1200 1010.8 2 5
 20080607 1200 1010.8 2 5
 20080608 1200 1010.2 2 5
 20080609 1200 1009.4 2 5
 20080610 1200 1009.1 2 5
 20080611 1200 1010.2 2 5
 20080612 1200 1010.1 2 5
 20080613 1200 1010.4 2 5
 20080614 1200 1010.4 2 5
 20080615 1200 1010.5 2 5
 20080616 1200 1009.8 2 5
 20080617 1200 1010.4 2 5
 20080618 1200 1011.6 2 5
 20080619 1200 1011.3 2 5
 20080620 1200 1010.3 2 5
 20080621 1200 1010.7 2 5
 20080622 1200 1011.0 2 5
 20080623 1200 1010.5 2 5
 20080624 1200 1010.9 2 5
 20080625 1200 1011.3 2 5
 20080626 1200 1011.0 2 5
 20080627 1200 1010.8 2 5
 20080628 1200 1011.4 2 5
 20080629 1200 1013.0 2 5
 20080630 1200 1012.3 2 5
 20080701 1200 1012.0 2 5
 20080702 1200 1011.8 2 5
 20080703 1200 1011.9 2 5
 20080704 1200 1012.9 2 5
 20080705 1200 1012.9 2 5
 20080706 1200 1012.0 2 5
 20080707 1200 1012.2 2 5
 20080708 1200 1012.5 2 5
 20080709 1200 1012.6 2 5
 20080710 1200 1012.1 2 5
 20080711 1200 1011.9 2 5
 20080712 1200 1012.6 2 5
 20080713 1200 1012.5 2 5
 20080714 1200 1011.8 2 5
 20080715 1200 1011.8 2 5
 20080716 1200 1012.6 2 5
 20080717 1200 1012.4 2 5
 20080718 1200 1011.6 2 5
 20080719 1200 1010.5 2 5
 20080720 1200 1010.6 2 5
 20080721 1200 1010.2 2 5
 20080722 1200 1009.6 2 5
 20080723 1200 1010.2 2 5
 20080724 1200 1010.4 2 5
 20080725 1200 1010.8 2 5
 20080726 1200 1010.9 2 5
 20080727 1200 1010.7 2 5
 20080728 1200 1011.4 2 5
 20080729 1200 1012.3 2 5
 20080730 1200 1011.8 2 5
 20080731 1200 1011.7 2 5
 20080801 1200 1011.4 2 5
 20080802 1200 1011.6 2 5
 20080803 1200 1010.7 2 5
 20080804 1200 1010.2 2 5
 20080805 1200 1009.1 2 5
 20080806 1200 1010.4 2 5
 20080807 1200 1011.3 2 5
 20080808 1200 1010.8 2 5
 20080809 1200 1010.8 2 5
 20080810 1200 1012.0 2 5
 20080811 1200 1012.4 2 5
 20080812 1200 1012.2 2 5
 20080813 1200 1012.3 2 5
 20080814 1200 1012.5 2 5
 20080815 1200 1013.7 2 5
 20080816 1200 1013.2 2 5
 20080817 1200 1012.6 2 5
 20080818 1200 1012.8 2 5
 20080819 1200 1012.6 2 5
 20080820 1200 1012.1 2 5
 20080821 1200 1011.6 2 5
 20080822 1200 1012.2 2 5
 20080823 1200 1012.6 2 5
 20080824 1200 1012.5 2 5
 20080825 1200 1012.3 2 5
 20080826 1200 1011.9 2 5
 20080827 1200 1011.9 2 5
 20080828 1200 1011.7 2 5
 20080829 1200 1011.1 2 5
 20080830 1200 1011.8 2 5
 20080831 1200 1011.6 2 5
 20080901 1200 1010.7 2 5
 20080902 1200 1011.2 2 5
 20080903 1200 1011.7 2 5
 20080904 1200 1011.2 2 5
 20080905 1200 1010.6 2 5
 20080906 1200 1010.9 2 5
 20080907 1200 1011.2 2 5
 20080908 1200 1010.7 2 5
 20080909 1200 1009.9 2 5
 20080910 1200 1009.7 2 5
 20080911 1200 1011.4 2 5
 20080912 1200 1011.9 2 5
 20080913 1200 1011.7 2 5
 20080914 1200 1011.3 2 5
 20080915 1200 1011.8 2 5
 20080916 1200 1011.7 2 5
 20080917 1200 1012.9 2 5
 20080918 1200 1012.9 2 5
 20080919 1200 1012.1 2 5
