 Location:  0N 156E  17 Mar 1998 to  1 Mar 2014 ( 5829 times, 10 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 17 Mar 1998 to 1200 18 Jun 1998 (index     1 to    94,   94 times)
 Depth (M):        -2 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20000112 1200 1004.9 1 1
 20000113 1200 1005.3 1 1
 20000114 1200 1006.3 1 1
 20000115 1200 1007.3 1 1
 20000116 1200 1007.4 1 1
 20000117 1200 1007.9 1 1
 20000118 1200 1008.3 1 1
 20000119 1200 1007.9 1 1
 20000120 1200 1007.3 1 1
 20000121 1200 1006.9 1 1
 20000122 1200 1006.4 1 1
 20000123 1200 1005.7 1 1
 20000124 1200 1006.6 1 1
 20000125 1200 1006.6 1 1
 20000126 1200 1006.4 1 1
 20000127 1200 1007.1 1 1
 20000128 1200 1008.1 1 1
 20000129 1200 1008.6 1 1
 20000130 1200 1008.4 1 1
 20000131 1200 1008.2 1 1
 20000201 1200 1009.4 1 1
 20000202 1200 1009.4 1 1
 20000203 1200 1008.2 1 1
 20000204 1200 1007.1 1 1
 20000205 1200 1007.4 1 1
 20000206 1200 1007.7 1 1
 20000207 1200 1007.3 1 1
 20000208 1200 1007.6 1 1
 20000209 1200 1008.5 1 1
 20000210 1200 1009.3 1 1
 20000211 1200 1009.3 1 1
 20000212 1200 1008.2 1 1
 20000213 1200 1008.0 1 1
 20000214 1200 1007.6 1 1
 20000215 1200 1007.9 1 1
 20000216 1200 1007.7 1 1
 20000217 1200 1009.0 1 1
 20000218 1200 1008.5 1 1
 20000219 1200 1007.9 1 1
 20000220 1200 1007.6 1 1
 20000221 1200 1007.9 1 1
 20000222 1200 1008.3 1 1
 20000223 1200 1009.1 1 1
 20000224 1200 1008.1 1 1
 20000225 1200 1008.0 1 1
 20000226 1200 1007.9 1 1
 20000227 1200 1007.4 1 1
 20000228 1200 1006.9 1 1
 20000229 1200 1006.8 1 1
 20000301 1200 1008.2 1 1
 20000302 1200 1009.0 1 1
 20000303 1200 1009.9 1 1
 20000304 1200 1009.4 1 1
 20000305 1200 1009.0 1 1
 20000306 1200 1008.7 1 1
 20000307 1200 1009.0 1 1
 20000308 1200 1008.7 1 1
 20000309 1200 1008.9 1 1
 20000310 1200 1008.0 1 1
 20000311 1200 1006.8 1 1
 20000312 1200 1006.9 1 1
 20000313 1200 1008.2 1 1
 20000314 1200 1008.0 1 1
 20000315 1200 1007.5 1 1
 20000316 1200 1007.1 1 1
 20000317 1200 1006.7 1 1
 20000318 1200 1008.1 1 1
 20000319 1200 1008.2 1 1
 20000320 1200 1008.6 1 1
 20000321 1200 1009.0 1 1
 20000322 1200 1008.9 1 1
 20000323 1200 1009.7 1 1
 20000324 1200 1009.5 1 1
 20000325 1200 1008.7 1 1
 20000326 1200 1008.0 1 1
 20000327 1200 1008.1 1 1
 20000328 1200 1008.7 1 1
 20000329 1200 1008.3 1 1
 20000330 1200   -9.9 0 1
 20000331 1200 1007.8 1 1
 20000401 1200 1008.1 1 1
 20000402 1200 1007.8 1 1
 20000403 1200 1007.9 1 1
 20000404 1200 1008.2 1 1
 20000405 1200 1008.1 1 1
 20000406 1200 1008.3 1 1
 20000407 1200 1008.8 1 1
 20000408 1200 1008.3 1 1
 20000409 1200 1009.0 1 1
 20000410 1200 1009.0 1 1
 20000411 1200 1008.7 1 1
 20000412 1200 1007.7 1 1
 20000413 1200 1007.7 1 1
 20000414 1200 1007.1 1 1
 20000415 1200 1007.4 1 1
 20000416 1200 1007.4 1 1
 20000417 1200 1008.3 1 1
 20000418 1200 1009.5 1 1
 20000419 1200 1009.1 1 1
 20000420 1200 1008.8 1 1
 20000421 1200 1009.2 1 1
 20000422 1200 1009.6 1 1
 20000423 1200 1008.9 1 1
 20000424 1200 1008.9 1 1
 20000425 1200 1008.2 1 1
 20000426 1200 1008.1 1 1
 20000427 1200 1007.7 1 1
 20000428 1200 1006.8 1 1
 20000429 1200 1007.4 1 1
 20000430 1200 1006.8 1 1
 20000501 1200 1007.3 1 1
 20000502 1200 1008.9 1 1
 20000503 1200 1008.3 1 1
