 Location:  2N  95W  26 Apr 2000 to 27 Jul 2003 ( 1188 times,  4 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 26 Apr 2000 to 1200 20 Dec 2000 (index     1 to   239,  239 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20001020 1200 1012.6 2 5
 20001021 1200 1012.3 2 5
 20001022 1200 1011.7 2 5
 20001023 1200 1012.0 2 5
 20001024 1200 1012.3 2 5
 20001025 1200 1011.6 2 5
 20001026 1200 1011.2 2 5
 20001027 1200 1011.8 2 5
 20001028 1200 1012.8 2 5
 20001029 1200 1012.8 2 5
 20001030 1200 1012.8 2 5
 20001031 1200 1012.8 2 5
 20001101 1200 1012.9 2 5
 20001102 1200 1012.6 2 5
 20001103 1200 1011.6 2 5
 20001104 1200 1011.0 2 5
 20001105 1200 1011.2 2 5
 20001106 1200 1012.1 2 5
 20001107 1200 1012.5 2 5
 20001108 1200   -9.9 0 0
 20001109 1200 1010.9 2 1
 20001110 1200 1011.6 2 1
 20001111 1200 1012.3 2 1
 20001112 1200 1012.7 2 1
 20001113 1200   -9.9 0 0
 20001114 1200 1012.4 2 1
 20001115 1200 1011.3 2 1
 20001116 1200 1011.2 2 1
 20001117 1200 1011.3 2 1
 20001118 1200 1012.4 2 1
 20001119 1200 1012.0 2 1
 20001120 1200 1011.3 2 1
 20001121 1200 1011.6 2 1
 20001122 1200 1011.9 2 1
 20001123 1200 1012.3 2 1
 20001124 1200 1011.5 2 1
 20001125 1200 1010.5 2 1
 20001126 1200 1010.3 2 1
 20001127 1200 1011.2 2 1
 20001128 1200 1011.9 2 1
 20001129 1200 1012.0 2 1
 20001130 1200 1011.7 2 1
 20001201 1200 1012.0 2 1
 20001202 1200 1012.4 2 1
 20001203 1200 1012.4 2 1
 20001204 1200 1011.6 2 1
 20001205 1200 1011.4 2 1
 20001206 1200 1011.1 2 1
 20001207 1200 1011.5 2 1
 20001208 1200 1011.9 2 1
 20001209 1200 1011.7 2 1
 20001210 1200 1011.4 2 1
 20001211 1200 1009.9 2 1
 20001212 1200 1009.8 2 1
 20001213 1200 1011.0 2 1
 20001214 1200 1012.9 2 1
 20001215 1200 1013.5 2 1
 20001216 1200 1012.0 2 1
 20001217 1200 1012.5 2 1
 20001218 1200 1011.0 2 1
 20001219 1200 1011.2 2 1
 20001220 1200 1010.6 2 1
 Time: 1200 24 Apr 2001 to 1200 11 Jun 2001 (index   364 to   412,   49 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20010424 1200 1009.1 2 1
 20010425 1200 1009.5 2 1
 20010426 1200 1009.4 2 1
 20010427 1200 1008.8 2 1
 20010428 1200 1009.4 2 1
 20010429 1200 1009.9 2 1
 20010430 1200 1010.0 2 1
 20010501 1200 1010.0 2 1
 20010502 1200 1009.7 2 1
 20010503 1200 1011.1 2 1
 20010504 1200 1011.1 2 1
 20010505 1200 1009.9 2 1
 20010506 1200 1009.0 2 1
 20010507 1200 1009.9 2 1
 20010508 1200 1011.1 2 1
 20010509 1200 1011.1 2 1
 20010510 1200 1010.6 2 1
 20010511 1200 1009.8 2 1
 20010512 1200 1010.8 2 1
 20010513 1200 1011.5 2 1
 20010514 1200 1012.0 2 1
 20010515 1200 1012.0 2 1
 20010516 1200 1011.0 2 1
 20010517 1200 1010.4 2 1
 20010518 1200 1011.6 2 1
 20010519 1200 1012.0 2 1
 20010520 1200 1011.9 2 1
 20010521 1200 1011.4 2 1
 20010522 1200 1012.0 2 1
 20010523 1200 1011.7 2 1
 20010524 1200 1012.9 2 1
 20010525 1200 1013.9 2 1
 20010526 1200 1012.8 2 1
 20010527 1200 1011.4 2 1
 20010528 1200 1011.1 2 1
 20010529 1200 1011.8 2 1
 20010530 1200 1012.8 2 1
 20010531 1200 1012.8 2 1
 20010601 1200 1013.1 2 1
 20010602 1200 1013.4 2 1
