 Location:  2N  95W  16 Nov 1992 to 10 Jul 2013 ( 7542 times, 26 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19930523 1200 28.45 2 1
 19930524 1200 28.38 2 1
 19930525 1200 28.32 2 1
 19930526 1200 28.32 2 1
 19930527 1200 28.29 2 1
 19930528 1200 28.10 2 1
 19930529 1200 27.83 2 1
 19930530 1200 27.94 2 1
 19930531 1200 28.27 2 1
 19930601 1200 28.45 2 1
 19930602 1200 28.36 2 1
 19930603 1200 28.39 2 1
 19930604 1200 28.42 2 1
 19930605 1200 28.39 2 1
 19930606 1200 28.27 2 1
 19930607 1200 27.97 2 1
 19930608 1200 27.90 2 1
 19930609 1200 27.89 2 1
 19930610 1200 27.92 2 1
 19930611 1200 27.63 2 1
 19930612 1200 27.37 2 1
 19930613 1200 27.25 2 1
 19930614 1200 27.20 2 1
 19930615 1200 26.93 2 1
 19930616 1200 26.52 2 1
 19930617 1200 26.01 2 1
 19930618 1200 26.02 2 1
 19930619 1200 25.81 2 1
 19930620 1200 25.62 2 1
 19930621 1200 26.36 2 1
 19930622 1200 27.04 2 1
 19930623 1200 27.14 2 1
 19930624 1200 26.82 2 1
 19930625 1200 26.56 2 1
 19930626 1200 26.45 2 1
 19930627 1200 26.65 2 1
 19930628 1200 26.99 2 1
 19930629 1200 27.17 2 1
 19930630 1200 27.28 2 1
 19930701 1200 27.35 2 1
 19930702 1200 27.43 2 1
 19930703 1200 27.40 2 1
 19930704 1200 27.06 2 1
 19930705 1200 26.82 2 1
 19930706 1200 26.50 2 1
 19930707 1200 25.85 2 1
 19930708 1200 25.48 2 1
 19930709 1200 26.00 2 1
 19930710 1200 26.62 2 1
 19930711 1200 26.96 2 1
 19930712 1200 27.08 2 1
 19930713 1200 27.14 2 1
 19930714 1200 27.05 2 1
 19930715 1200 26.85 2 1
 19930716 1200 26.51 2 1
 19930717 1200 26.14 2 1
 19930718 1200 26.01 2 1
 19930719 1200 25.82 2 1
 19930720 1200 25.94 2 1
 19930721 1200 26.11 2 1
 19930722 1200 26.25 2 1
 19930723 1200 26.39 2 1
 19930724 1200 26.39 2 1
 19930725 1200 26.43 2 1
 19930726 1200 26.41 2 1
 19930727 1200 26.40 2 1
 19930728 1200 26.40 2 1
 19930729 1200 26.41 2 1
 19930730 1200 26.42 2 1
 19930731 1200 26.48 2 1
 19930801 1200 26.53 2 1
 19930802 1200 26.41 2 1
 19930803 1200 25.38 2 1
 19930804 1200 24.47 2 1
 19930805 1200 23.59 2 1
 19930806 1200 23.84 2 1
 19930807 1200 24.17 2 1
 19930808 1200 24.50 2 1
 19930809 1200 25.33 2 1
 19930810 1200 25.86 2 1
 19930811 1200 25.93 2 1
 19930812 1200 25.77 2 1
 19930813 1200 25.84 2 1
 19930814 1200 25.97 2 1
 19930815 1200 26.06 2 1
 19930816 1200 26.38 2 1
 19930817 1200 26.64 2 1
 19930818 1200 26.40 2 1
 19930819 1200 25.83 2 1
 19930820 1200 25.50 2 1
