 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920214 1200  -6.4   2.1   6.7 288.4 12 55
 19920215 1200  -5.9   4.0   7.1 303.9 12 55
 19920216 1200  -5.6   4.5   7.2 308.4 12 55
 19920217 1200  -5.5   5.0   7.4 312.2 12 55
 19920218 1200  -4.8   3.2   5.8 303.6 12 55
 19920219 1200  -4.4   4.1   6.0 313.4 12 55
 19920220 1200  -5.2   2.8   5.9 298.1 12 55
 19920221 1200  -6.6   3.4   7.4 297.4 12 55
 19920222 1200  -7.2   3.1   7.8 293.2 12 55
 19920223 1200  -6.1   1.8   6.3 286.9 12 55
 19920224 1200  -5.2   2.3   5.7 294.4 12 55
 19920225 1200  -5.9   1.7   6.1 286.0 12 55
 19920226 1200  -6.8   0.5   6.8 273.8 12 55
 19920227 1200  -6.9   2.9   7.5 292.7 12 55
 19920228 1200  -6.8   4.2   8.0 301.9 12 55
 19920229 1200  -6.7   3.8   7.7 299.5 12 55
 19920301 1200  -6.7   4.7   8.2 305.4 12 55
 19920302 1200  -7.9   3.8   8.8 295.6 12 55
 19920303 1200  -6.3   4.6   7.8 306.0 12 55
 19920304 1200  -5.8   2.0   6.2 288.6 12 55
 19920305 1200  -3.9   1.9   4.4 296.4 12 55
 19920306 1200  -4.0   0.4   4.0 275.1 12 55
 19920307 1200  -5.4   1.9   5.8 289.8 12 55
 19920308 1200  -4.2   2.2   4.7 297.3 12 55
 19920309 1200  -3.7   1.5   4.0 291.4 12 55
 19920310 1200  -4.1   0.1   4.1 272.1 12 55
 19920311 1200   1.5  -1.2   1.9 128.6 12 55
 19920312 1200  -0.1   3.6   3.6 359.0 12 55
 19920313 1200  -1.2   2.4   2.6 333.2 12 55
 19920314 1200  -4.5   2.0   4.9 293.7 12 55
 19920315 1200  -6.2   1.6   6.4 283.9 12 55
 19920316 1200  -5.9   1.5   6.1 284.0 12 55
 19920317 1200  -3.3   1.1   3.5 288.2 12 55
 19920318 1200  -1.8  -0.8   1.9 246.8 12 55
 19920319 1200  -1.8  -0.3   1.8 260.8 12 55
 19920320 1200  -1.2   2.7   3.0 335.7 12 55
 19920321 1200  -2.9   3.2   4.3 317.2 12 55
 19920322 1200  -4.3   0.9   4.4 282.5 12 55
 19920323 1200  -3.4   1.3   3.6 291.0 12 55
 19920324 1200  -2.9   2.4   3.8 309.9 12 55
 19920325 1200  -3.2   4.1   5.2 321.7 12 55
 19920326 1200  -3.1   3.4   4.6 317.0 12 55
 19920327 1200  -3.8   2.2   4.3 300.0 12 55
 19920328 1200  -1.0  -0.6   1.2 241.2 12 55
 19920329 1200  -2.1  -0.3   2.1 260.5 12 55
 19920330 1200  -2.8   0.6   2.9 281.6 12 55
 19920331 1200  -2.1  -0.7   2.2 250.8 12 55
 19920401 1200  -2.2  -0.1   2.2 267.0 12 55
 19920402 1200  -3.4   0.6   3.4 279.8 12 55
 19920403 1200  -4.9   2.9   5.7 300.7 12 55
 19920404 1200  -6.0   1.9   6.3 287.6 12 55
 19920405 1200  -6.2   0.4   6.2 274.1 12 55
