 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19951107 1200  -5.1   0.9   5.1 280.2 12 55
 19951108 1200  -5.7   0.5   5.7 274.6 12 55
 19951109 1200  -4.3   0.0   4.3 270.5 12 55
 19951110 1200  -5.2   0.7   5.2 278.1 12 55
 19951111 1200  -5.4   1.3   5.5 283.8 12 55
 19951112 1200  -4.2   0.1   4.2 272.1 12 55
 19951113 1200  -5.3   1.8   5.6 288.9 12 55
 19951114 1200  -5.9   0.6   5.9 275.7 12 55
 19951115 1200  -6.0  -0.3   6.0 267.3 12 55
 19951116 1200  -6.3   0.0   6.3 269.8 12 55
 19951117 1200  -5.6   0.3   5.6 273.4 12 55
 19951118 1200  -5.6   2.1   6.0 290.8 12 55
 19951119 1200  -4.1   3.0   5.1 305.9 12 55
 19951120 1200  -5.4   2.3   5.9 292.9 12 55
 19951121 1200  -6.0   1.2   6.1 281.0 12 55
 19951122 1200  -6.5  -0.7   6.5 264.3 12 55
 19951123 1200  -5.5   0.1   5.5 271.1 12 55
 19951124 1200  -6.0   0.4   6.0 274.2 12 55
 19951125 1200  -5.9   1.7   6.2 285.9 12 55
 19951126 1200  -6.6   0.8   6.7 276.5 12 55
 19951127 1200  -5.0  -0.4   5.0 265.8 12 55
 19951128 1200  -5.9  -0.8   5.9 262.4 12 55
 19951129 1200  -7.0   0.2   7.0 271.7 12 55
 19951130 1200  -7.0  -1.0   7.1 262.2 12 55
 19951201 1200  -7.4  -0.6   7.4 265.5 12 55
 19951202 1200  -7.0   0.0   7.0 269.8 12 55
 19951203 1200  -6.8  -0.9   6.9 262.5 12 55
 19951204 1200  -5.9  -0.8   6.0 262.7 12 55
 19951205 1200  -5.8  -0.7   5.9 263.0 12 55
 19951206 1200  -4.1  -0.6   4.2 261.8 12 55
 19951207 1200  -5.9  -1.2   6.0 258.7 12 55
 19951208 1200  -5.3  -1.0   5.4 259.6 12 55
 19951209 1200  -4.8  -0.3   4.8 265.8 12 55
 19951210 1200  -4.1  -0.5   4.1 263.2 12 55
 19951211 1200  -4.8   1.8   5.1 290.8 12 55
 19951212 1200  -4.8   1.0   4.9 282.0 12 55
 19951213 1200  -5.8   0.6   5.9 275.8 12 55
 19951214 1200  -6.1  -0.6   6.1 264.8 12 55
 19951215 1200  -7.6   0.8   7.7 276.1 12 55
 19951216 1200  -7.7   0.7   7.7 275.4 12 55
 19951217 1200  -7.5   1.3   7.7 279.6 12 55
 19951218 1200  -6.2  -1.1   6.3 260.0 12 55
 19951219 1200  -6.4  -1.2   6.5 259.2 12 55
 19951220 1200  -6.0   1.4   6.1 283.3 12 55
 19951221 1200  -7.3   1.9   7.5 284.3 12 55
 19951222 1200  -7.2  -0.4   7.2 266.8 12 55
 19951223 1200  -5.4  -2.5   6.0 245.4 12 55
 19951224 1200  -4.6  -0.6   4.6 262.2 12 55
 19951225 1200  -4.5   2.3   5.0 297.2 12 55
 19951226 1200  -4.6   1.9   5.0 292.2 12 55
 19951227 1200  -5.2   1.2   5.3 283.3 12 55
 19951228 1200  -3.8   0.6   3.9 279.2 12 55
 19951229 1200  -4.5   2.1   5.0 295.1 12 55
 19951230 1200  -5.6   0.6   5.6 276.3 12 55
 19951231 1200  -5.7   1.6   5.9 285.8 12 55
 19960101 1200  -6.4   0.7   6.5 276.0 12 55
 19960102 1200  -6.9   1.4   7.0 281.3 12 55
 19960103 1200  -7.2   1.4   7.4 280.8 12 55
 19960104 1200  -8.7  -0.4   8.7 267.6 12 55
 19960105 1200  -7.2  -1.8   7.4 256.1 12 55
 19960106 1200  -4.8  -0.2   4.8 267.9 12 55
 19960107 1200  -4.2   2.2   4.8 297.2 12 55
 19960108 1200  -4.3   0.5   4.3 277.0 12 55
 19960109 1200  -5.4  -0.5   5.4 264.6 12 55
 19960110 1200  -5.8  -0.1   5.8 268.9 12 55
 19960111 1200  -5.0  -1.1   5.2 257.4 12 55
 19960112 1200  -4.1  -2.8   5.0 235.0 12 55
 19960113 1200  -4.4  -0.7   4.5 260.8 12 55
 19960114 1200  -4.3  -0.2   4.3 267.3 12 55
 19960115 1200  -4.8   1.0   4.9 282.0 12 55
 19960116 1200  -4.7  -0.3   4.7 266.1 12 55
 19960117 1200  -4.9   2.2   5.3 294.2 12 55
 19960118 1200  -5.7   1.9   6.0 288.7 12 55
 19960119 1200  -6.3  -0.5   6.4 265.3 12 55
 19960120 1200  -6.4  -0.5   6.4 265.2 12 55
 19960121 1200  -5.9   1.3   6.1 282.6 12 55
 19960122 1200  -5.3   1.4   5.5 284.9 12 55
 19960123 1200  -5.2   0.6   5.2 276.5 12 55
 19960124 1200  -5.8   1.4   5.9 283.6 12 55
 19960125 1200  -7.3   2.6   7.8 289.4 12 55
 19960126 1200  -6.8  -0.2   6.8 268.0 12 55
 19960127 1200  -6.4  -0.6   6.4 264.5 12 55
 19960128 1200  -6.6   0.3   6.6 272.3 12 55
 19960129 1200  -6.1   0.8   6.2 277.3 12 55
 19960130 1200  -6.4   2.2   6.7 289.0 12 55
 19960131 1200  -7.2   1.6   7.3 282.7 12 55
 19960201 1200  -7.2   0.6   7.2 275.0 12 55
 19960202 1200  -6.8  -2.6   7.3 249.1 12 55
 19960203 1200  -6.4  -1.8   6.7 254.2 12 55
 19960204 1200  -7.2   0.0   7.2 270.3 12 55
 19960205 1200  -5.7   0.6   5.7 276.4 12 55
 19960206 1200  -5.6   0.2   5.6 272.3 12 55
 19960207 1200  -4.8   0.3   4.8 274.2 12 55
 19960208 1200  -4.6   1.9   5.0 292.2 12 55
 19960209 1200  -4.5   0.8   4.6 279.3 12 55
 19960210 1200  -4.6  -0.7   4.7 261.6 12 55
 19960211 1200  -5.0  -2.8   5.7 240.9 12 55
 19960212 1200  -5.0  -1.2   5.2 256.4 12 55
 19960213 1200  -4.2  -0.6   4.2 261.8 12 55
 19960214 1200  -5.1   1.0   5.2 281.1 12 55
 19960215 1200  -5.4   0.9   5.5 279.5 12 55
 19960216 1200  -6.3  -1.1   6.4 259.9 12 55
 19960217 1200  -6.3   1.5   6.5 283.1 12 55
 19960218 1200  -6.0   2.8   6.6 295.5 12 55
 19960219 1200  -5.8   2.3   6.3 291.6 12 55
 19960220 1200  -5.8  -0.3   5.8 266.5 12 55
 19960221 1200  -6.4  -2.1   6.7 252.1 12 55
 19960222 1200  -6.6  -1.4   6.8 258.4 12 55
 19960223 1200  -6.0  -0.7   6.0 263.3 12 55
 19960224 1200  -5.4  -0.3   5.4 267.1 12 55
 19960225 1200  -6.0  -1.0   6.1 260.9 12 55
 19960226 1200  -3.6  -0.4   3.6 263.7 12 55
 19960227 1200  -3.6  -0.5   3.7 261.5 12 55
 19960228 1200  -4.9  -0.3   4.9 266.9 12 55
 19960229 1200  -4.3  -0.6   4.4 262.1 12 55
 19960301 1200  -4.5  -1.9   4.9 247.6 12 55
 19960302 1200  -3.8  -2.4   4.5 237.6 12 55
 19960303 1200  -4.6  -1.6   4.9 251.4 12 55
 19960304 1200  -5.3  -0.8   5.4 261.3 12 55
 19960305 1200  -4.1  -1.8   4.4 246.8 12 55
 19960306 1200  -3.9  -0.2   3.9 266.5 12 55
 19960307 1200  -2.7  -1.3   3.0 243.5 12 55
 19960308 1200  -1.9  -2.0   2.8 223.4 12 55
 19960309 1200  -1.0  -1.9   2.2 206.4 12 55
 19960310 1200  -1.9   1.7   2.5 311.9 12 55
 19960311 1200  -2.6   1.8   3.2 305.0 12 55
 19960312 1200  -0.5  -0.2   0.6 249.6 12 55
 19960313 1200   1.0  -2.9   3.1 160.3 12 55
 19960314 1200  -1.9  -0.3   1.9 260.2 12 55
 19960315 1200  -1.5   1.5   2.1 316.5 12 55
 19960316 1200  -2.5   2.1   3.3 309.5 12 55
 19960317 1200  -2.9   0.6   3.0 282.3 12 55
 19960318 1200  -2.6   0.6   2.6 282.5 12 55
 19960319 1200  -1.9  -2.9   3.5 212.8 12 55
 19960320 1200  -1.5  -4.2   4.5 199.5 12 55
 19960321 1200  -3.6  -1.3   3.8 249.6 12 55
 19960322 1200  -3.6   0.4   3.6 276.1 12 55
 19960323 1200  -4.6  -1.2   4.8 254.8 12 55
 19960324 1200  -5.2  -3.3   6.1 237.8 12 55
 19960325 1200  -4.8  -2.9   5.6 238.8 12 55
 19960326 1200  -2.8  -2.5   3.7 228.3 12 55
 19960327 1200  -3.7  -1.5   4.0 248.3 12 55
 19960328 1200  -4.4  -1.3   4.6 253.4 12 55
 19960329 1200  -4.3  -2.2   4.8 243.1 12 55
 19960330 1200  -5.0  -2.9   5.8 240.3 12 55
 19960331 1200  -4.9  -4.2   6.5 229.3 12 55
 19960401 1200  -3.2  -2.5   4.1 231.9 12 55
 19960402 1200  -1.9  -2.6   3.2 215.5 12 55
 19960403 1200  -3.4  -1.2   3.6 250.7 12 55
 19960404 1200  -4.1   0.5   4.2 277.1 12 55
 19960405 1200  -2.3   0.1   2.3 271.5 12 55
 19960406 1200   0.2  -2.3   2.3 175.6 12 55
 19960407 1200  -1.4  -1.2   1.8 230.4 12 55
 19960408 1200  -2.8  -2.5   3.7 228.8 12 55
 19960409 1200  -5.0  -0.9   5.1 260.3 12 55
 19960410 1200  -4.3  -2.7   5.0 237.8 12 55
 19960411 1200  -4.3  -1.1   4.5 255.8 12 55
 19960412 1200  -3.4   0.2   3.4 274.1 12 55
 19960413 1200  -3.7   1.7   4.1 294.0 12 55
 19960414 1200  -3.8  -0.6   3.8 261.3 12 55
 19960415 1200  -3.5  -2.7   4.5 232.4 12 55
 19960416 1200  -3.6  -2.1   4.2 239.7 12 55
 19960417 1200  -4.2   0.7   4.3 279.6 12 55
 19960418 1200  -5.3   0.9   5.3 280.3 12 55
 19960419 1200  -6.2  -1.4   6.3 257.1 12 55
 19960420 1200  -5.6  -1.4   5.8 256.2 12 55
 19960421 1200  -4.4  -2.6   5.1 239.7 12 55
 19960422 1200  -5.2   2.0   5.6 290.6 12 55
 19960423 1200  -5.7   1.2   5.9 281.7 12 55
 19960424 1200  -6.0   0.5   6.1 274.8 12 55
 19960425 1200  -6.8  -0.5   6.8 265.4 12 55
 19960426 1200  -6.3  -0.3   6.3 267.4 12 55
 19960427 1200  -3.9  -4.0   5.6 224.5 12 55
 19960428 1200  -6.4  -4.8   8.0 233.3 12 55
 19960429 1200  -5.0  -2.0   5.3 248.4 12 55
 19960430 1200  -5.9   2.5   6.4 292.9 12 55
 19960501 1200  -5.6  -0.7   5.6 263.4 12 55
 19960502 1200  -6.5  -0.6   6.6 264.6 12 55
 19960503 1200  -7.0   0.4   7.0 273.5 12 55
 19960504 1200  -6.8   0.5   6.8 274.1 12 55
 19960505 1200  -7.3   0.2   7.3 271.7 12 55
 19960506 1200  -7.0   0.2   7.0 271.5 12 55
 19960507 1200  -7.4   3.0   7.9 292.0 12 55
 19960508 1200  -7.7   1.3   7.8 279.4 12 55
 19960509 1200  -7.4   1.9   7.7 284.1 12 55
 19960510 1200  -5.8   1.8   6.0 287.2 12 55
 19960511 1200  -6.3   1.0   6.4 278.9 12 55
 19960512 1200  -6.4   1.8   6.7 285.5 12 55
 19960513 1200  -6.1   0.1   6.1 271.3 12 55
 19960514 1200  -6.2   1.8   6.5 286.5 12 55
 19960515 1200  -6.0  -0.4   6.0 266.5 12 55
 19960516 1200  -4.3  -1.9   4.7 246.2 12 55
 19960517 1200  -5.5  -0.9   5.5 260.6 12 55
 19960518 1200  -5.1  -0.6   5.1 263.1 12 55
 19960519 1200  -5.1  -1.0   5.2 259.1 12 55
 19960520 1200  -6.0  -3.2   6.8 241.6 12 55
 19960521 1200  -6.5  -1.4   6.6 258.3 12 55
 19960522 1200  -6.0   0.5   6.0 274.5 12 55
 19960523 1200  -3.3  -0.1   3.3 267.7 12 55
 19960524 1200  -4.2  -1.3   4.3 253.1 12 55
 19960525 1200  -4.8  -1.1   4.9 257.2 12 55
 19960526 1200  -5.2  -0.5   5.2 264.6 12 55
 19960527 1200  -4.6  -0.3   4.6 266.5 12 55
 19960528 1200  -3.7  -1.4   4.0 249.9 12 55
 19960529 1200  -3.5  -2.5   4.3 234.6 12 55
 19960530 1200  -5.5  -2.1   5.9 249.4 12 55
 19960531 1200  -5.0  -2.1   5.4 247.6 12 55
 19960601 1200  -4.8   0.2   4.8 272.1 12 55
 19960602 1200  -6.3   0.6   6.3 274.9 12 55
 19960603 1200  -6.8   0.2   6.8 271.4 12 55
 19960604 1200  -6.1  -0.5   6.1 265.5 12 55
 19960605 1200  -5.7  -0.3   5.7 267.4 12 55
 19960606 1200  -5.9   0.7   6.0 276.7 12 55
 19960607 1200  -5.4   0.9   5.5 279.4 12 55
 19960608 1200  -5.1   0.2   5.1 272.2 12 55
 19960609 1200  -4.2  -0.7   4.2 260.4 12 55
 19960610 1200  -4.1  -1.1   4.3 254.7 12 55
 19960611 1200  -4.2   0.0   4.2 269.5 12 55
 19960612 1200  -5.0  -0.2   5.0 268.1 12 55
 19960613 1200  -5.7   0.1   5.7 270.9 12 55
 19960614 1200  -6.0   0.1   6.0 271.1 12 55
 19960615 1200  -6.0   0.0   6.0 270.4 12 55
 19960616 1200  -4.4   0.5   4.4 275.9 12 55
 19960617 1200  -5.0  -0.1   5.0 268.5 12 55
 19960618 1200  -4.7  -1.3   4.9 254.7 12 55
 19960619 1200  -5.1   0.6   5.1 277.2 12 55
 19960620 1200  -6.2  -0.5   6.2 265.0 12 55
 19960621 1200  -5.7   1.8   5.9 287.4 12 55
 19960622 1200  -5.5   0.9   5.6 279.8 12 55
 19960623 1200  -4.4   0.9   4.5 281.2 12 55
 19960624 1200  -5.3  -0.7   5.3 262.8 12 55
 19960625 1200  -4.8   0.2   4.8 272.9 12 55
 19960626 1200  -5.0   2.1   5.5 292.6 12 55
 19960627 1200  -4.2   0.7   4.3 279.6 12 55
 19960628 1200  -4.5  -1.8   4.9 248.1 12 55
 19960629 1200  -4.9  -1.2   5.0 255.9 12 55
 19960630 1200  -6.3  -0.7   6.4 263.8 12 55
 19960701 1200  -6.2  -0.1   6.2 269.2 12 55
 19960702 1200  -5.0  -0.3   5.0 267.0 12 55
 19960703 1200  -5.5  -0.6   5.5 263.8 12 55
 19960704 1200  -5.4  -0.6   5.5 263.6 12 55
 19960705 1200  -6.0   1.5   6.2 284.1 12 55
 19960706 1200  -8.2   2.8   8.7 288.9 12 55
 19960707 1200  -7.6   0.2   7.6 271.7 12 55
 19960708 1200  -6.8  -1.7   7.0 256.0 12 55
 19960709 1200  -7.7  -1.2   7.8 261.2 12 55
 19960710 1200  -8.4   0.4   8.4 272.4 12 55
 19960711 1200  -8.0   1.4   8.1 279.7 12 55
 19960712 1200  -7.5   2.1   7.7 285.5 12 55
 19960713 1200  -7.2   2.5   7.6 289.4 12 55
 19960714 1200  -6.8   1.7   7.0 283.9 12 55
 19960715 1200  -7.1   2.5   7.5 289.0 12 55
 19960716 1200  -7.2   2.4   7.6 288.3 12 55
 19960717 1200  -7.2   2.4   7.6 288.6 12 55
 19960718 1200  -7.3   2.3   7.7 287.6 12 55
 19960719 1200  -7.0   1.2   7.1 279.7 12 55
 19960720 1200  -7.1   0.1   7.1 270.5 12 55
 19960721 1200  -8.4   0.2   8.4 271.2 12 55
 19960722 1200  -8.3  -1.2   8.4 262.1 12 55
 19960723 1200  -7.9   1.5   8.1 280.7 12 55
 19960724 1200  -6.9   3.2   7.6 295.0 12 55
 19960725 1200  -5.4   1.0   5.5 280.1 12 55
 19960726 1200  -6.2   1.2   6.3 281.1 12 55
 19960727 1200  -6.9   0.0   6.9 270.2 12 55
 19960728 1200  -6.6  -0.1   6.6 269.3 12 55
 19960729 1200  -5.4   1.9   5.7 289.3 12 55
 19960730 1200  -4.0   3.1   5.1 307.2 12 55
 19960731 1200  -5.9   2.5   6.4 292.8 12 55
 19960801 1200  -6.1   1.1   6.2 279.9 12 55
 19960802 1200  -5.2   1.0   5.3 281.2 12 55
 19960803 1200  -5.6   1.1   5.7 280.8 12 55
 19960804 1200  -5.2   2.1   5.6 292.2 12 55
 19960805 1200  -5.3   2.7   5.9 296.7 12 55
 19960806 1200  -6.6   1.7   6.8 284.3 12 55
 19960807 1200  -6.3   1.7   6.5 285.3 12 55
 19960808 1200  -7.4   2.0   7.7 285.3 12 55
 19960809 1200  -6.5   2.0   6.8 287.4 12 55
 19960810 1200  -6.2  -0.1   6.2 268.9 12 55
 19960811 1200  -6.1   0.7   6.2 276.2 12 55
 19960812 1200  -7.3   2.2   7.7 286.8 12 55
 19960813 1200  -5.9   0.2   6.0 272.4 12 55
 19960814 1200  -3.9  -1.6   4.2 248.3 12 55
 19960815 1200  -3.9  -1.7   4.2 246.6 12 55
 19960816 1200  -2.5  -0.2   2.5 266.3 12 55
 19960817 1200  -4.7   0.6   4.7 277.2 12 55
 19960818 1200  -4.0  -0.3   4.0 266.2 12 55
 19960819 1200  -4.9   0.3   4.9 273.7 12 55
 19960820 1200  -5.0   1.0   5.1 281.1 12 55
 19960821 1200  -5.5   2.2   5.9 291.5 12 55
 19960822 1200  -6.3   3.7   7.4 300.5 12 55
 19960823 1200  -6.6   2.9   7.2 294.0 12 55
 19960824 1200  -6.3   1.3   6.5 281.8 12 55
 19960825 1200  -5.4   0.6   5.5 276.2 12 55
 19960826 1200  -7.1   1.7   7.3 283.6 12 55
 Time: 1200 15 Sep 1996 to 1200  6 Jul 2002 (index  1777 to  3897, 2121 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19960915 1200  -6.7   1.3   6.8 281.0 14 55
 19960916 1200  -5.7   1.7   6.0 286.6 14 11
 19960917 1200  -8.3   1.9   8.5 283.0 14 11
 19960918 1200  -6.7   1.7   6.9 284.2 14 55
 19960919 1200  -5.4  -0.4   5.4 265.7 14 55
 19960920 1200  -4.7  -0.9   4.8 258.5 14 55
 19960921 1200  -4.3   0.5   4.4 276.6 14 55
 19960922 1200  -4.5   1.0   4.6 282.3 14 55
 19960923 1200  -6.0  -0.3   6.0 267.5 14 55
 19960924 1200  -6.3  -0.3   6.3 267.4 14 55
 19960925 1200  -5.9   0.3   5.9 272.9 14 55
 19960926 1200  -5.2  -0.1   5.2 269.2 14 55
 19960927 1200  -5.7   0.5   5.7 274.9 14 55
 19960928 1200  -4.7   1.3   4.9 285.5 14 55
 19960929 1200  -5.2   1.6   5.5 287.4 14 55
 19960930 1200  -5.0   1.7   5.2 288.8 14 55
 19961001 1200  -7.7  -0.8   7.8 263.7 14 55
 19961002 1200  -8.5  -0.1   8.5 269.6 14 55
 19961003 1200  -7.6  -0.3   7.6 268.0 14 55
 19961004 1200  -5.1  -2.1   5.5 247.9 14 55
 19961005 1200  -4.6  -2.1   5.1 245.1 14 55
 19961006 1200  -5.2  -0.9   5.3 259.9 14 55
 19961007 1200  -4.8  -1.2   4.9 256.5 14 55
 19961008 1200  -5.7  -0.9   5.7 260.9 14 55
 19961009 1200  -4.0  -1.5   4.3 249.8 14 55
 19961010 1200  -5.0  -1.3   5.2 255.6 14 55
 19961011 1200  -5.3  -0.4   5.3 266.0 14 11
 19961012 1200  -5.1  -0.9   5.2 259.8 14 55
 19961013 1200  -4.3  -0.3   4.3 265.6 14 55
 19961014 1200  -5.4  -2.1   5.8 248.3 14 55
 19961015 1200  -5.6  -2.0   6.0 250.0 14 55
 19961016 1200  -5.9  -0.5   6.0 265.0 14 55
 19961017 1200  -6.6  -1.0   6.7 261.5 14 55
 19961018 1200  -6.1  -1.2   6.2 258.5 14 55
 19961019 1200  -5.9  -0.8   6.0 261.8 14 55
 19961020 1200  -6.5  -0.5   6.5 265.3 14 55
 19961021 1200  -7.4  -0.8   7.4 263.6 14 55
 19961022 1200  -6.5  -0.9   6.6 262.4 14 55
 19961023 1200  -6.0  -0.2   6.0 268.2 14 55
 19961024 1200  -5.0   1.4   5.2 285.6 14 11
 19961025 1200  -6.5   0.4   6.5 273.3 14 55
 19961026 1200  -5.5   0.7   5.5 276.9 14 11
 19961027 1200  -6.5   0.2   6.5 272.1 14 55
 19961028 1200  -6.3   0.8   6.3 277.1 14 55
 19961029 1200  -5.1   0.5   5.2 275.5 14 55
 19961030 1200  -4.9   0.2   4.9 272.6 14 55
 19961031 1200  -7.6   1.1   7.7 278.2 14 55
 19961101 1200  -7.1  -0.6   7.1 265.0 14 55
 19961102 1200  -5.6  -1.4   5.8 256.4 14 55
 19961103 1200  -6.7   0.3   6.7 272.5 14 55
 19961104 1200  -7.0   0.5   7.0 274.3 14 55
 19961105 1200  -7.2  -1.1   7.2 261.0 14 55
 19961106 1200  -7.8  -0.8   7.9 263.9 14 55
 19961107 1200  -7.7  -0.7   7.8 264.8 14 55
 19961108 1200  -7.5  -0.9   7.5 262.8 14 55
 19961109 1200  -6.6  -0.8   6.7 263.4 14 55
 19961110 1200  -4.6  -0.5   4.6 263.9 14 55
 19961111 1200  -4.6  -0.3   4.6 266.0 14 55
 19961112 1200  -6.0  -0.8   6.0 262.2 14 55
 19961113 1200  -5.9  -1.4   6.1 256.4 14 55
 19961114 1200  -5.0  -1.3   5.1 255.4 14 55
 19961115 1200  -6.0  -1.4   6.2 257.0 14 55
 19961116 1200  -5.8  -1.4   5.9 256.6 14 55
 19961117 1200  -5.8  -0.7   5.9 263.3 13 55
 19961118 1200   0.0   0.1   0.1   9.0 13 11
 19961119 1200  -4.8  -1.5   5.0 252.2 13 55
 19961120 1200  -6.0   0.5   6.0 274.9 13 55
 19961121 1200  -7.2   2.2   7.6 287.2 13 55
 19961122 1200  -6.2  -1.4   6.4 257.2 13 11
 19961123 1200  -6.6   0.1   6.6 270.8 13 55
 19961124 1200  -5.2   2.2   5.7 292.4 13 55
 19961125 1200  -4.8   1.8   5.1 289.9 13 55
 19961126 1200  -4.1   1.8   4.5 293.5 13 55
 19961127 1200  -4.2   0.9   4.3 282.2 13 55
 19961128 1200  -4.7  -0.3   4.7 265.8 13 55
 19961129 1200  -5.5  -0.4   5.5 265.5 13 55
 19961130 1200  -5.0   2.0   5.3 291.6 13 55
 19961201 1200  -4.5   1.1   4.6 284.3 13 55
 19961202 1200  -5.0   1.7   5.3 288.2 13 55
 19961203 1200  -5.7  -0.4   5.7 265.9 13 55
 19961204 1200   0.0   0.1   0.1   9.0 13 11
 19961205 1200  -7.8   0.3   7.8 272.2 13 55
 19961206 1200  -7.4   1.8   7.6 283.9 13 55
 19961207 1200  -7.7   1.6   7.8 281.6 13 55
 19961208 1200  -7.0   0.9   7.1 277.4 13 11
 19961209 1200  -7.1  -0.3   7.1 267.4 13 55
 19961210 1200  -8.4   2.5   8.8 286.8 13 55
 19961211 1200  -7.6   0.1   7.6 270.6 13 55
 19961212 1200  -7.5  -0.6   7.5 265.7 13 55
 19961213 1200  -8.3   0.1   8.3 270.9 13 55
 19961214 1200  -8.3   0.8   8.3 275.4 13 55
 19961215 1200  -7.3   1.8   7.5 283.5 13 55
 19961216 1200  -6.8  -0.1   6.8 268.7 13 55
 19961217 1200  -6.5  -1.4   6.6 258.2 13 55
 19961218 1200  -6.1  -0.1   6.1 268.8 13 55
 19961219 1200  -5.8   0.4   5.8 274.1 13 55
 19961220 1200  -5.9   0.1   5.9 270.9 13 55
 19961221 1200  -5.2   0.0   5.2 270.1 13 55
 19961222 1200  -5.7   0.9   5.8 278.9 13 55
 19961223 1200  -6.0   1.5   6.2 283.9 13 55
 19961224 1200  -5.5   0.4   5.6 274.0 13 55
 19961225 1200  -4.1  -0.5   4.2 262.6 13 55
 19961226 1200  -4.4  -0.5   4.5 264.2 13 55
 19961227 1200  -7.2   0.6   7.2 274.4 13 55
 19961228 1200  -7.4   0.5   7.5 273.5 13 55
 19961229 1200  -7.0   0.2   7.0 271.9 13 55
 19961230 1200  -5.6  -2.0   6.0 250.1 13 55
 19961231 1200  -5.0   1.1   5.1 282.9 13 55
 19970101 1200  -4.7   0.5   4.7 275.6 13 55
 19970102 1200  -3.8  -0.1   3.8 269.2 13 55
 19970103 1200  -5.8   0.1   5.8 271.5 13 55
 19970104 1200  -6.8   0.8   6.9 276.3 13 55
 19970105 1200  -6.9  -0.9   7.0 262.3 13 55
 19970106 1200  -5.6  -1.6   5.8 254.2 13 55
 19970107 1200  -5.4  -1.5   5.6 254.6 13 55
 19970108 1200  -4.5  -1.6   4.7 249.8 13 55
 19970109 1200  -4.7  -2.1   5.2 245.9 13 55
 19970110 1200  -5.7   0.5   5.8 275.1 13 11
 19970111 1200  -4.7  -1.3   4.8 254.2 13 55
 19970112 1200  -3.9   0.9   4.0 283.0 13 55
 19970113 1200  -5.5  -1.9   5.8 250.7 13 11
 19970114 1200  -6.1  -0.6   6.2 264.8 13 55
 19970115 1200  -6.9  -1.7   7.1 256.5 13 55
 19970116 1200  -5.6   0.2   5.6 272.0 13 55
 19970117 1200  -6.3   0.5   6.3 274.4 13 55
 19970118 1200  -7.2   1.0   7.3 277.7 13 55
 19970119 1200  -6.7   0.9   6.7 278.2 13 55
 19970120 1200  -6.6  -0.2   6.6 268.4 13 55
 19970121 1200  -6.8  -0.6   6.8 265.2 13 55
 19970122 1200  -6.5  -1.1   6.6 260.5 13 55
 19970123 1200  -6.4   0.0   6.4 270.2 13 55
 19970124 1200  -7.5   0.1   7.5 271.1 13 55
 19970125 1200  -7.4   0.4   7.4 273.1 13 55
 19970126 1200  -6.5   0.8   6.6 277.0 13 55
 19970127 1200  -6.0   1.0   6.1 279.7 13 55
 19970128 1200  -5.8   1.1   5.8 280.3 13 55
 19970129 1200  -7.0   2.7   7.5 291.0 13 55
 19970130 1200  -6.9   1.4   7.0 281.2 13 55
 19970131 1200  -7.7  -0.6   7.7 265.5 13 55
 19970201 1200  -7.0   0.0   7.0 269.8 13 55
 19970202 1200  -6.3  -0.6   6.4 265.0 13 55
 19970203 1200  -5.7   0.1   5.7 270.7 13 55
 19970204 1200  -4.0   1.5   4.3 289.8 13 55
 19970205 1200  -3.8   1.1   3.9 286.1 13 55
 19970206 1200  -4.2  -0.3   4.2 265.8 13 55
 19970207 1200  -4.5   0.6   4.6 276.9 13 55
 19970208 1200  -3.4   0.9   3.6 285.3 13 55
 19970209 1200  -5.1   2.6   5.7 297.2 13 55
 19970210 1200  -6.0   0.9   6.1 279.0 13 55
 19970211 1200  -5.9   0.4   5.9 273.7 13 55
 19970212 1200  -6.4   0.5   6.5 273.9 13 55
 19970213 1200  -7.0   1.2   7.2 279.9 13 55
 19970214 1200  -6.5   0.8   6.5 277.0 13 55
 19970215 1200  -5.0   0.1   5.0 271.6 13 55
 19970216 1200  -3.3  -1.9   3.8 240.1 13 55
 19970217 1200  -4.5   1.0   4.6 282.8 13 55
 19970218 1200  -4.9   2.1   5.4 293.4 13 55
 19970219 1200  -4.6  -1.1   4.7 257.0 13 55
 19970220 1200  -5.0  -1.2   5.2 256.0 13 55
 19970221 1200  -6.5   1.9   6.8 286.4 13 55
 19970222 1200  -5.1   0.4   5.1 274.9 13 55
 19970223 1200  -6.0  -2.0   6.3 251.7 13 55
 19970224 1200  -7.1  -1.2   7.2 260.3 13 55
 19970225 1200  -6.5   0.5   6.5 274.2 13 55
 19970226 1200  -4.8   0.1   4.8 271.5 13 55
 19970227 1200  -4.8   2.5   5.4 297.4 13 55
 19970228 1200  -5.5   1.4   5.7 284.8 13 55
 19970301 1200  -3.9  -1.0   4.0 255.1 13 55
 19970302 1200  -4.1   1.2   4.2 286.3 13 55
